source,title,url,author,publish_time,hash,category,excerpt,scraped_at
TechCrunch,Why AI will eat McKinsey’s lunch — but not today,https://techcrunch.com/2025/06/29/why-ai-will-eat-mckinseys-lunch-but-not-today/,Connie Loizos,2025-06-29 21:10,2867c6a90d4ac010cd2ccb9dea3c3a6f,,,2025-06-30 20:58:27
TechCrunch,"With ‘F1’, Apple finally has a theatrical hit",https://techcrunch.com/2025/06/29/with-f1-apple-finally-has-a-theatrical-hit/,Anthony Ha,2025-06-29 09:35,6fe2603d85210414bacc6a41e0edffd1,,,2025-06-30 20:58:27
TechCrunch,Anthropic’s Claude AI became a terrible business owner in experiment that got ‘weird’,https://techcrunch.com/2025/06/28/anthropics-claude-ai-became-a-terrible-business-owner-in-experiment-that-got-weird/,Julie Bort,2025-06-28 09:00,ea55074a669a5f2770475f0fe12a7482,,,2025-06-30 20:58:27
TechCrunch,"FBI, cybersecurity firms say a prolific hacking crew is now targeting airlines and the transportation sector",https://techcrunch.com/2025/06/28/fbi-cybersecurity-firms-say-scattered-spider-hackers-now-targeting-airlines-transportation-sector/,Zack Whittaker,Unknown,34a56ef5b1e361bc6b155c671e3c8282,,,2025-06-30 20:58:27
TechCrunch,Trump says he’s found a buyer for TikTok,https://techcrunch.com/2025/06/29/trump-says-hes-found-a-buyer-for-tiktok/,Anthony Ha,Unknown,557289af881e533931da6cbfedcb2392,,,2025-06-30 20:58:27
TechCrunch,OpenAI reportedly ‘recalibrating’ compensation in response to Meta hires,https://techcrunch.com/2025/06/29/openai-reportedly-recalibrating-compensation-in-response-to-meta-hires/,Anthony Ha,Unknown,e497a6a016fa646ad69858c4a97b09f0,,,2025-06-30 20:58:27
TechCrunch,Vitalik Buterin has reservations about Sam Altman’s World project,https://techcrunch.com/2025/06/28/vitalik-buterin-has-reservations-about-sam-altmans-world-project/,Anthony Ha,Unknown,49e751c1380ecc8e61050f277f1335b0,,,2025-06-30 20:58:27
TechCrunch,SpaceX’s Starbase city officials silent on crane collapse,https://techcrunch.com/2025/06/27/spacexs-starbase-city-officials-silent-on-crane-collapse/,Sean O'Kane,Unknown,9890bd4f6cd9379506f0f5e62f83183f,,,2025-06-30 20:58:27
TechCrunch,Spotify revamps its Discover Weekly playlist after 10 years,https://techcrunch.com/2025/06/30/spotify-will-revamp-its-discover-weekly-playlist-after-ten-years/,Amanda Silberling,2025-06-30 03:00,e94cb0ed0fb57c2da77994e37157fea3,,,2025-06-30 20:58:27
TechCrunch,Why AI will eat McKinsey’s lunch — but not today,https://techcrunch.com/2025/06/29/why-ai-will-eat-mckinseys-lunch-but-not-today/,Connie Loizos,2025-06-29 21:10,2867c6a90d4ac010cd2ccb9dea3c3a6f,,,2025-06-30 20:58:27
TechCrunch,OpenAI reportedly ‘recalibrating’ compensation in response to Meta hires,https://techcrunch.com/2025/06/29/openai-reportedly-recalibrating-compensation-in-response-to-meta-hires/,Anthony Ha,2025-06-29 13:16,e497a6a016fa646ad69858c4a97b09f0,,,2025-06-30 20:58:27
TechCrunch,Trump says he’s found a buyer for TikTok,https://techcrunch.com/2025/06/29/trump-says-hes-found-a-buyer-for-tiktok/,Anthony Ha,2025-06-29 09:53,557289af881e533931da6cbfedcb2392,,,2025-06-30 20:58:27
TechCrunch,"With ‘F1’, Apple finally has a theatrical hit",https://techcrunch.com/2025/06/29/with-f1-apple-finally-has-a-theatrical-hit/,Anthony Ha,2025-06-29 09:35,6fe2603d85210414bacc6a41e0edffd1,,,2025-06-30 20:58:27
TechCrunch,Authors call on publishers to limit their use of AI,https://techcrunch.com/2025/06/28/authors-call-on-publishers-to-limit-their-use-of-ai/,Anthony Ha,2025-06-28 13:51,4b74c4db6930e517ef9220eae3798153,,,2025-06-30 20:58:27
TechCrunch,Meta reportedly hires four more researchers from OpenAI,https://techcrunch.com/2025/06/28/meta-reportedly-hires-four-more-researchers-from-openai/,Anthony Ha,2025-06-28 11:31,ae81c7c10efb0208c5be9d42ce66b164,,,2025-06-30 20:58:27
